"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Sitzendes Rudern - Weiter Griff",,"",0,"warmup",45,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Sitzendes Rudern - Weiter Griff",,"",1,"normal",60,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Sitzendes Rudern - Weiter Griff",,"",2,"normal",60,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Sitzendes Rudern - Weiter Griff",,"",3,"normal",60,12,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Reverse Fliegende (Maschine)",,"",0,"normal",80,7,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Reverse Fliegende (Maschine)",,"",1,"normal",80,7,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Reverse Fliegende (Maschine)",,"",2,"normal",80,6,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Seitheben (Maschine)",,"",0,"warmup",45,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Seitheben (Maschine)",,"",1,"normal",65,8,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Seitheben (Maschine)",,"",2,"normal",65,8,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Seitheben (Maschine)",,"",3,"normal",65,7,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Russian Twist (Gewichtet)",,"",0,"normal",15,30,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Russian Twist (Gewichtet)",,"",1,"normal",15,25,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Russian Twist (Gewichtet)",,"",2,"normal",15,25,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Hyperextension (Gewichtet)",,"",0,"normal",24,20,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Hyperextension (Gewichtet)",,"",1,"normal",24,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Rückenstrecken (Maschine)",,"",0,"normal",105,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Rückenstrecken (Maschine)",,"",1,"normal",105,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Laufband",,"",0,"normal",,,1.25,600,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 4328",,"",0,"warmup",40,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 4328",,"",1,"normal",50,7,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 4328",,"",2,"normal",50,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 4328",,"",3,"normal",50,4,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schräge Brustpresse (Maschine)",,"",0,"warmup",45,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schräge Brustpresse (Maschine)",,"",1,"normal",80,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schräge Brustpresse (Maschine)",,"",2,"normal",80,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schräge Brustpresse (Maschine)",,"",3,"normal",80,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 3014",,"",0,"normal",80,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 3014",,"",1,"normal",80,13,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 3014",,"",2,"normal",80,12,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Preacher Curl (Maschine)",,"",0,"normal",70,7,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Preacher Curl (Maschine)",,"",1,"normal",70,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Bizepscurl (Kurzhantel)",,"",0,"normal",24,5,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Bizepscurl (Kurzhantel)",,"",1,"normal",24,4,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Bizepscurl (Kurzhantel)",,"",2,"normal",24,4,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Trizepsdrücken",,"",0,"normal",45,8,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Trizepsdrücken",,"",1,"normal",45,7,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Trizepsdrücken",,"",2,"normal",45,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schulterheben (Kurzhantel)",,"",0,"normal",24,20,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schulterheben (Kurzhantel)",,"",1,"normal",24,17,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schulterheben (Kurzhantel)",,"",2,"normal",24,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Negativ Crunch (Gewichtet)",,"",0,"normal",30,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Negativ Crunch (Gewichtet)",,"",1,"normal",30,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Negativ Crunch (Gewichtet)",,"",2,"normal",30,12,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Side Bend (Kurzhantel) ",,"",0,"normal",30,20,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Side Bend (Kurzhantel) ",,"",1,"normal",30,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Side Bend (Kurzhantel) ",,"",2,"normal",30,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Sägezahnmuskel",,"",0,"normal",25,20,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Sägezahnmuskel",,"",1,"normal",25,20,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Sägezahnmuskel",,"",2,"normal",25,20,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Laufband",,"",0,"normal",,,1.15,600,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Laufband",,"",1,"normal",,,1.15,600,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Einbeiniges Beinstrecken",,"",0,"normal",55,12,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Einbeiniges Beinstrecken",,"",1,"normal",55,11,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Einbeiniges Beinstrecken",,"",2,"normal",55,8,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Beinbeugen sitzend",,"",0,"warmup",77,15,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Beinbeugen sitzend",,"",1,"normal",117,15,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Beinbeugen sitzend",,"",2,"normal",117,15,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Beinbeugen sitzend",,"",3,"normal",117,15,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Hüftabduktion",,"2x16",0,"normal",117,20,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Hüftabduktion",,"2x16",1,"normal",117,20,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Hüftabduktion",,"2x16",2,"normal",117,18,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Hüftadduktion",,"2x16",0,"normal",117,20,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Hüftadduktion",,"2x16",1,"normal",117,20,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Hüftadduktion",,"2x16",2,"normal",117,18,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Wadenheben stehend (Maschine)",,"",0,"normal",150,23,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Wadenheben stehend (Maschine)",,"",1,"normal",150,18,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Wadenheben stehend (Maschine)",,"",2,"normal",150,12,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Hip Thrust (Maschine)",,"",0,"normal",75,15,,,
"Beintraining 2","22 Juli 2026, 16:05","22 Juli 2026, 17:26","","Hip Thrust (Maschine)",,"",1,"normal",75,12,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Laufband",,"",0,"normal",,,1.2,600,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Laufband",,"",1,"normal",,,1.2,600,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Latzug (Kabel)",,"",0,"warmup",75,15,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Latzug (Kabel)",,"",1,"normal",115,7,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Latzug (Kabel)",,"",2,"normal",115,6,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Latzug (Kabel)",,"",3,"normal",115,6,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Sitzendes Rudern - Weiter Griff",,"",0,"warmup",45,15,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Sitzendes Rudern - Weiter Griff",,"",1,"normal",55,15,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Sitzendes Rudern - Weiter Griff",,"",2,"normal",55,15,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Sitzendes Rudern - Weiter Griff",,"",3,"normal",55,15,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Iso-Laterales Rudern von oben",,"",0,"normal",65,10,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Iso-Laterales Rudern von oben",,"",1,"normal",65,8,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Iso-Laterales Rudern von oben",,"",2,"normal",65,6,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Reverse Fliegende (Maschine)",,"",0,"normal",80,8,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Reverse Fliegende (Maschine)",,"",1,"normal",80,8,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Reverse Fliegende (Maschine)",,"",2,"normal",80,6,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Seitheben (Maschine)",,"",0,"warmup",45,15,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Seitheben (Maschine)",,"",1,"normal",65,9,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Seitheben (Maschine)",,"",2,"normal",65,8,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Seitheben (Maschine)",,"",3,"normal",65,7,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Schulterpresse sitzend (Maschine)",,"",0,"warmup",45,10,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Schulterpresse sitzend (Maschine)",,"",1,"normal",60,6,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Schulterpresse sitzend (Maschine)",,"",2,"normal",60,5,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Russian Twist (Gewichtet)",,"",0,"normal",15,30,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Russian Twist (Gewichtet)",,"",1,"normal",15,25,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Russian Twist (Gewichtet)",,"",2,"normal",15,25,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Hyperextension (Gewichtet)",,"",0,"normal",24,20,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Hyperextension (Gewichtet)",,"",1,"normal",24,15,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Rückenstrecken (Maschine)",,"",0,"normal",105,15,,,
"Rücken 2","21 Juli 2026, 16:06","21 Juli 2026, 17:44","","Rückenstrecken (Maschine)",,"",1,"normal",105,15,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Laufband",,"",0,"normal",,,1.2,600,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Laufband",,"",1,"normal",,,1.2,600,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Gym80 Brustmaschine 4328",,"",0,"normal",40,13,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Gym80 Brustmaschine 4328",,"",1,"normal",50,6,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Gym80 Brustmaschine 4328",,"",2,"normal",50,5,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Schräge Brustpresse (Maschine)",,"",0,"warmup",45,15,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Schräge Brustpresse (Maschine)",,"",1,"normal",75,10,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Schräge Brustpresse (Maschine)",,"",2,"normal",75,9,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Schräge Brustpresse (Maschine)",,"",3,"normal",75,8,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Fliegende (Maschine)",,"",0,"normal",100,8,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Fliegende (Maschine)",,"",1,"normal",100,6,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Fliegende (Maschine)",,"",2,"normal",100,5,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Preacher Curl (Maschine)",,"",0,"normal",70,7,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Preacher Curl (Maschine)",,"",1,"normal",70,6,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Preacher Curl (Maschine)",,"",2,"normal",70,6,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Bizepscurl (Kurzhantel)",,"",0,"normal",24,5,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Bizepscurl (Kurzhantel)",,"",1,"normal",24,4,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Bizepscurl (Kurzhantel)",,"",2,"normal",24,4,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Trizepsdrücken",,"",0,"normal",47.5,6,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Trizepsdrücken",,"",1,"normal",47.5,6,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Trizepsdrücken",,"",2,"normal",47.5,5,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Schulterheben (Kurzhantel)",,"",0,"normal",24,15,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Schulterheben (Kurzhantel)",,"",1,"normal",24,15,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Schulterheben (Kurzhantel)",,"",2,"normal",24,15,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Gym80 Bauchmuskelmaschine 3037",,"",0,"normal",65,15,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Gym80 Bauchmuskelmaschine 3037",,"",1,"normal",65,15,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Gym80 Bauchmuskelmaschine 3037",,"",2,"normal",65,15,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Side Bend (Kurzhantel) ",,"",0,"normal",30,20,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Side Bend (Kurzhantel) ",,"",1,"normal",30,15,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Side Bend (Kurzhantel) ",,"",2,"normal",30,15,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Sägezahnmuskel",,"",0,"normal",20,20,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Sägezahnmuskel",,"",1,"normal",20,20,,,
"Brust","20 Juli 2026, 05:56","20 Juli 2026, 07:29","","Sägezahnmuskel",,"",2,"normal",20,16,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Laufband",,"",0,"normal",,,1.2,600,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Latzug (Kabel)",,"",0,"warmup",75,15,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Latzug (Kabel)",,"",1,"normal",105,9,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Latzug (Kabel)",,"",2,"normal",105,9,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Latzug (Kabel)",,"",3,"normal",105,8,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Iso-Laterales Rudern von oben",,"",0,"normal",65,8,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Iso-Laterales Rudern von oben",,"",1,"normal",65,7,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Iso-Laterales Rudern von oben",,"",2,"normal",65,6,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Iso-Laterales Rudern",,"",0,"normal",105,9,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Iso-Laterales Rudern",,"",1,"normal",105,9,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Iso-Laterales Rudern",,"",2,"normal",105,9,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Reverse Fliegende (Maschine)",,"",0,"normal",80,8,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Reverse Fliegende (Maschine)",,"",1,"normal",80,8,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Reverse Fliegende (Maschine)",,"",2,"normal",80,6,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Seitheben (Maschine)",,"",0,"warmup",45,15,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Seitheben (Maschine)",,"",1,"normal",65,9,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Seitheben (Maschine)",,"",2,"normal",65,8,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Seitheben (Maschine)",,"",3,"normal",65,8,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Russian Twist (Gewichtet)",,"",0,"normal",15,30,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Russian Twist (Gewichtet)",,"",1,"normal",15,25,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Russian Twist (Gewichtet)",,"",2,"normal",15,25,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Hyperextension (Gewichtet)",,"",0,"normal",24,15,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Hyperextension (Gewichtet)",,"",1,"normal",24,15,,,
"Rücken 2","17 Juli 2026, 06:26","17 Juli 2026, 07:28","","Rückenstrecken (Maschine)",,"",0,"normal",105,15,,,
